year,representative_rank,district,state,representative_score,gerrymander_index,shape_irregularity,packing_signal,quota_deviation_pct,tpp_alp_pct,tpp_margin_pct,tpp_swing,enrolment,turnout,turnout_pct,booth_tpp_stddev,booth_tpp_range,booth_count,mapped_booth_count,effective_parties,top_primary_party,top_primary_pct,primary_gap_pct,vote_type_skew,polsby_popper,reock,convex_hull_ratio,components,area_sqkm,perimeter_km,num_ccds
2019,90,Hinkler,QLD,49.2,50.8,68.0,2.8,0.94,35.5,29.0,6.12,107742,99877,92.7,4.63,48.41,55,50,3.925,LNP,42.43,21.29,6.65,0.4568,0.2457,0.5443,2,7617.381,457.747,359
2019,91,Corangamite,VIC,49.1,50.9,81.7,0.5,1.36,51.07,2.14,-1.04,111601,105816,94.82,5.31,71.77,55,52,3.397,LP,40.65,6.59,9.21,0.1928,0.3278,0.6697,7,5437.918,595.384,290
2019,92,Shortland,NSW,48.6,51.4,79.7,4.6,1.25,54.45,8.9,5.49,114054,106827,93.66,5.87,41.33,55,54,3.512,ALP,38.5,3.52,6.31,0.2366,0.2351,0.688,4,264.715,118.571,374
2019,93,Spence,SA,48.6,51.4,48.6,61.9,1.4,64.13,28.26,3.04,119385,108096,90.54,8.83,95.77,57,52,3.281,ALP,47.91,23.63,8.88,0.2465,0.4451,0.7657,1,532.219,164.703,367
2019,94,Hume,NSW,48.4,51.6,52.3,19.1,3.33,37.01,25.98,2.81,116405,109522,94.09,6.11,37.94,71,68,3.1,LP,49.84,24.99,7.41,0.173,0.4726,0.7618,1,17239.784,1119.203,395
2019,95,Flinders,VIC,48.2,51.8,84.3,4.7,0.54,44.36,11.28,-1.37,110703,103076,93.11,5.46,63.7,44,41,3.598,LP,43.94,20.68,7.45,0.2419,0.2253,0.6229,23,984.986,226.215,331
2019,96,Bass,TAS,47.4,52.6,97.0,0.7,0.82,49.59,0.82,5.83,76532,71973,94.04,7.78,37.44,61,58,3.452,LP,40.42,7.25,1.62,0.0293,0.1384,0.2391,145,7971.939,1849.677,313
2019,97,Forde,QLD,47.4,52.6,68.3,15.9,1.38,41.4,17.2,7.97,107261,95983,89.49,6.25,57.86,44,42,3.636,LNP,41.49,13.35,5.68,0.1841,0.3833,0.5978,1,418.33,168.962,352
2019,98,Mitchell,NSW,47.2,52.8,62.3,4.5,2.04,31.37,37.26,0.81,110345,103870,94.13,4.79,45.53,45,44,2.446,LP,58.92,36.18,8.48,0.2991,0.2677,0.6832,1,101.068,65.161,324
2019,99,Tangney,WA,47.1,52.9,42.5,32.2,8.29,38.53,22.94,0.4,94365,87250,92.46,7.2,56.71,46,40,2.945,LP,51.28,26.47,9.12,0.3707,0.4418,0.7495,1,83.092,53.076,320
2019,100,Nicholls,VIC,46.9,53.1,54.2,52.0,0.93,29.97,40.06,-2.49,111134,102971,92.65,7.2,42.49,82,78,3.522,NP,47.45,29.49,8.06,0.1596,0.4761,0.7497,1,14769.391,1078.485,416
2019,101,Kingston,SA,46.3,53.7,61.7,27.5,1.94,61.94,23.88,1.61,118735,110628,93.17,6.71,86.96,53,47,2.936,ALP,48.5,18.08,10.38,0.2703,0.2987,0.7218,1,165.514,87.723,391
2019,102,Mayo,SA,45.7,54.3,93.7,3.2,1.07,47.46,5.08,-0.73,122377,116216,94.97,6.5,64.71,89,83,3.69,LP,36.51,3.36,6.67,0.1121,0.1737,0.4933,27,9134.704,1011.972,398
2019,103,Lyne,NSW,45.2,54.8,49.7,14.9,5.4,34.83,30.34,3.54,118726,111276,93.73,5.59,80.0,94,90,3.73,NP,44.87,22.97,7.83,0.2859,0.4563,0.8249,17,16099.376,841.147,433
2019,104,Blair,QLD,45.0,55.0,68.3,3.1,4.37,51.21,2.42,6.93,113520,103690,91.34,7.53,36.28,58,55,5.072,ALP,28.92,2.07,6.96,0.1522,0.3162,0.7388,1,6483.063,731.676,390
2019,105,Flynn,QLD,44.2,55.8,48.4,46.1,5.24,41.34,17.32,7.62,103061,94974,92.15,12.18,71.23,93,88,4.132,LNP,35.69,8.7,13.06,0.2211,0.4514,0.786,1,160377.428,3018.934,428
2019,106,Jagajaga,VIC,44.1,55.9,70.8,14.0,2.32,56.57,13.14,-0.97,107553,100936,93.85,6.52,80.8,42,40,3.057,ALP,40.71,3.3,6.02,0.1437,0.2999,0.7146,1,104.315,95.51,354
2019,107,Moncrieff,QLD,44.0,56.0,56.5,30.9,2.41,34.64,30.72,0.75,111386,98246,88.2,6.41,53.33,44,40,3.424,LNP,48.2,28.03,7.49,0.3207,0.3508,0.6926,1,103.309,63.626,381
2019,108,Ryan,QLD,43.7,56.3,73.6,14.0,2.31,43.97,12.06,-2.95,106249,98795,92.98,6.77,44.33,46,43,3.095,LNP,47.44,23.59,10.39,0.1699,0.3371,0.5766,1,370.407,165.504,359
2019,109,Longman,QLD,43.4,56.6,65.6,4.4,5.47,46.72,6.56,4.07,114718,105722,92.16,6.14,24.67,45,42,3.853,LNP,36.33,4.22,9.01,0.1721,0.4253,0.6068,1,1287.061,306.519,342
2019,110,Riverina,NSW,43.4,56.6,60.5,44.1,1.16,30.52,38.96,3.04,113960,106430,93.39,6.84,50.0,102,94,2.579,NP,56.84,34.87,4.81,0.1763,0.4573,0.6751,1,48988.606,1868.903,467
2019,111,Hindmarsh,SA,42.8,57.2,76.2,30.0,1.29,56.54,13.08,1.89,122645,113879,92.85,9.23,90.91,67,61,3.233,ALP,41.23,6.07,6.26,0.1463,0.2587,0.7788,4,122.46,102.566,392
2019,112,Bonner,QLD,42.5,57.5,61.7,25.8,3.83,42.59,14.82,4.02,104599,97027,92.76,7.6,31.22,46,42,2.959,LNP,48.04,17.86,10.32,0.3044,0.2268,0.7133,1,941.498,197.147,352
2019,113,Maranoa,QLD,42.4,57.6,50.6,36.1,3.41,24.58,50.84,7.88,105051,96573,91.93,6.41,59.29,127,121,2.962,LNP,53.79,38.85,10.24,0.2369,0.3952,0.793,1,731311.43,6228.812,442
2019,114,Dawson,QLD,41.8,58.2,66.9,1.9,3.23,35.39,29.22,11.24,105248,95550,90.79,4.58,75.0,56,48,4.464,LNP,39.94,21.08,6.96,0.2739,0.2036,0.7969,6,67604.344,1761.127,414
